Entity,Code,Year,GDPPerCapita
South Africa,ZAF,2010,11318.6044921875
South Korea,KOR,2010,31537.7734375
South and South-East Asia,,2010,5366.591796875
Spain,ESP,2010,31786.404296875
Sri Lanka,LKA,2010,8319.703125
Sub-Sahara Africa,,2010,3155.574951171875
Sweden,SWE,2010,42634.75390625
Switzerland,CHE,2010,57219.5
Syria,SYR,2010,6520.6123046875
Taiwan,TWN,2010,37385.48828125
Tajikistan,TJK,2010,2975.9267578125
Tanzania,TZA,2010,2068.86376953125
Thailand,THA,2010,13343.546875
Togo,TGO,2010,1191.1448974609375
Trinidad and Tobago,TTO,2010,30235.994140625
Tunisia,TUN,2010,10721.8115234375
Turkey,TUR,2010,16528.119140625
Turkmenistan,TKM,2010,14397.1494140625
USSR,OWID_USS,2010,16344.5234375
Uganda,UGA,2010,1831.2906494140625
Ukraine,UKR,2010,9601.208984375
United Arab Emirates,ARE,2010,60112.40234375
United Kingdom,GBR,2010,34754.47265625
United States,USA,2010,49266.9140625
Uruguay,URY,2010,16415.62890625
Uzbekistan,UZB,2010,7002.859375
Venezuela,VEN,2010,17105.580078125
Vietnam,VNM,2010,4571.8486328125
Western Europe,,2010,37318.37109375
Western Offshoots,,2010,48090.15234375
World,OWID_WRL,2010,13179.4951171875
Yemen,YEM,2010,4812.34521484375
Yugoslavia,OWID_YGS,2010,14250.7890625
Zambia,ZMB,2010,3032.06787109375
Zimbabwe,ZWE,2010,1401.8564453125
